Date,Open,High,Low,Close,Adj Close,Volume,Target,Moving_Average_3,Moving_Average_7,Today_Direction,Price_Range
2000-01-19,64.125,67.5,63.0,66.8125,66.8125,8245500,0,0.2916666666666667,-0.8482142857142857,2.6875,4.5
2000-01-20,66.9375,67.0,63.9375,64.75,64.75,5978000,0,0.3958333333333333,-0.6785714285714286,-2.1875,3.0625
2000-01-21,64.625,64.625,60.0,62.0625,62.0625,11461900,1,-0.6875,-1.0267857142857142,-2.5625,4.625
2000-01-24,67.5625,73.375,67.5,70.125,70.125,29170200,0,-0.7291666666666666,-0.044642857142857144,2.5625,5.875
2000-01-25,70.0,71.25,66.0,69.25,69.25,9434100,0,-0.25,-0.29464285714285715,-0.75,5.25
2000-01-26,68.625,70.0,64.75,64.8125,64.8125,6558000,1,-0.6666666666666666,-0.48214285714285715,-3.8125,5.25
2000-01-27,65.1875,67.75,64.625,66.9375,66.9375,6784000,0,-0.9375,-0.33035714285714285,1.75,3.125
2000-01-28,65.0,66.4375,60.0,61.6875,61.6875,13777900,1,-1.7916666666666667,-1.1875,-3.3125,6.4375
2000-01-31,60.375,64.75,58.4375,64.5625,64.5625,10697900,0,0.875,-0.2767857142857143,4.1875,6.3125
2000-02-01,67.5,70.625,64.375,67.4375,67.4375,13404600,1,0.2708333333333333,0.08035714285714286,-0.0625,6.25
2000-02-02,67.9375,72.25,67.75,69.4375,69.4375,14025900,1,1.875,-0.07142857142857142,1.5,4.5
2000-02-03,81.125,85.9375,77.375,84.1875,84.1875,43750000,0,1.5,0.4732142857142857,3.0625,8.5625
2000-02-04,82.75,82.75,77.875,78.5625,78.5625,11023000,0,0.125,0.41964285714285715,-4.1875,4.875
2000-02-07,76.1875,76.875,73.125,75.0,75.0,10129000,1,-0.7708333333333334,0.0,-1.1875,3.75
2000-02-08,74.0,84.0,73.4375,83.125,83.125,19472800,0,1.25,1.7767857142857142,9.125,10.5625
2000-02-09,80.546875,83.734375,80.015625,80.25,80.25,9580400,0,2.546875,1.1361607142857142,-0.296875,3.71875
2000-02-10,78.5,79.875,75.5,76.1875,76.1875,9979600,0,2.171875,0.8147321428571429,-2.3125,4.375
2000-02-11,77.125,79.125,75.5,76.1875,76.1875,8309000,0,-1.1822916666666667,0.46651785714285715,-0.9375,3.625
2000-02-14,75.6875,75.75,73.5625,74.4375,74.4375,5169700,1,-1.5,-0.14955357142857142,-1.25,2.1875
2000-02-15,73.4375,76.1875,70.625,73.8125,73.8125,6424500,0,-0.6041666666666666,0.5022321428571429,0.375,5.5625
2000-02-16,72.75,73.4375,70.625,70.6875,70.6875,4260200,0,-0.9791666666666666,0.37723214285714285,-2.0625,2.8125
2000-02-17,71.25,71.3125,68.0,69.0,69.0,6129600,0,-1.3125,-1.2477678571428572,-2.25,3.3125
2000-02-18,68.4375,69.0,63.875,64.75,64.75,8726400,0,-2.6666666666666665,-1.7321428571428572,-3.6875,5.125
2000-02-22,64.9375,66.5,63.0625,63.5625,63.5625,5685800,1,-2.4375,-1.5982142857142858,-1.375,3.4375
2000-02-23,64.875,71.75,64.6875,70.4375,70.4375,8441200,0,0.16666666666666666,-0.6696428571428571,5.5625,7.0625
2000-02-24,70.5625,71.375,65.625,68.4375,68.4375,5869300,1,0.6875,-0.7946428571428571,-2.125,5.75
2000-02-25,67.4375,69.375,65.1875,69.125,69.125,4870500,0,1.7083333333333333,-0.6071428571428571,1.6875,4.1875
2000-02-28,66.5625,67.1875,64.125,65.75,65.75,5057700,1,-0.4166666666666667,-0.42857142857142855,-0.8125,3.0625
2000-02-29,66.0,68.96875,65.875,68.875,68.875,7148500,0,1.25,0.30357142857142855,2.875,3.09375
2000-03-01,67.625,68.5,65.0,65.875,65.875,5576700,0,0.10416666666666667,0.5803571428571429,-1.75,3.5
2000-03-02,64.9375,65.0,62.1875,62.5625,62.5625,7980100,0,-0.4166666666666667,0.4375,-2.375,2.8125
2000-03-03,63.25,64.75,62.0625,62.5,62.5,6059500,1,-1.625,-0.4642857142857143,-0.75,2.6875
2000-03-06,62.875,67.25,62.8125,63.9375,63.9375,7665800,0,-0.6875,-0.008928571428571428,1.0625,4.4375
2000-03-07,64.875,65.8125,62.125,63.5,63.5,4178800,1,-0.3541666666666667,-0.44642857142857145,-1.375,3.6875
2000-03-08,63.25,64.75,60.5625,63.625,63.625,5940700,1,0.020833333333333332,-0.2767857142857143,0.375,4.1875
2000-03-09,63.0,69.0,62.1875,68.8125,68.8125,8312500,0,1.6041666666666667,0.14285714285714285,5.8125,6.8125
2000-03-10,67.25,68.53125,65.0,66.875,66.875,3713500,1,1.9375,0.3392857142857143,-0.375,3.53125
2000-03-13,64.0,66.625,63.0,65.3125,65.3125,5634300,0,2.25,0.8660714285714286,1.3125,3.625
2000-03-14,66.0625,66.9375,63.375,65.625,65.625,4805300,0,0.16666666666666666,0.9107142857142857,-0.4375,3.5625
2000-03-15,64.75,65.125,62.0,63.75,63.75,6082700,1,-0.041666666666666664,0.6160714285714286,-1.0,3.125
2000-03-16,62.25,66.375,60.0,66.25,66.25,9703100,0,0.8541666666666666,1.3839285714285714,4.0,6.375
2000-03-17,66.0625,66.375,64.5,64.8125,64.8125,5298500,1,0.5833333333333334,1.1517857142857142,-1.25,1.875
2000-03-20,63.5,64.5,62.375,64.1875,64.1875,5813500,1,1.1458333333333333,0.41964285714285715,0.6875,2.125
2000-03-21,65.125,73.0,62.25,72.375,72.375,17082900,0,2.2291666666666665,1.5089285714285714,7.25,10.75
2000-03-22,70.875,74.0,69.25,70.6875,70.6875,11566400,0,2.5833333333333335,1.2946428571428572,-0.1875,4.75
2000-03-23,69.5,70.9375,67.5,67.6875,67.6875,5442100,0,1.75,1.0982142857142858,-1.8125,3.4375
2000-03-24,74.625,75.25,71.3125,72.6875,72.6875,9746000,1,-1.3125,0.9642857142857143,-1.9375,3.9375
2000-03-27,72.25,75.125,71.75,73.125,73.125,4748600,0,-0.9583333333333334,0.5178571428571429,0.875,3.375
2000-03-28,72.375,72.75,69.46875,70.125,70.125,5197600,0,-1.1041666666666667,0.375,-2.25,3.28125
2000-03-29,69.5,69.875,65.0,66.25,66.25,5886500,1,-1.5416666666666667,-0.1875,-3.25,4.875
2000-03-30,64.5,67.375,64.0,66.5,66.5,5034000,1,-1.1666666666666667,-0.9375,2.0,3.375
2000-03-31,66.75,67.125,63.0,67.0,67.0,5115500,0,-0.3333333333333333,-0.875,0.25,4.125
2000-04-03,65.4375,65.6875,62.0,63.5625,63.5625,4865400,1,0.125,-0.8839285714285714,-1.875,3.6875
2000-04-04,62.875,65.4375,55.75,63.9375,63.9375,14318000,1,-0.1875,-0.45535714285714285,1.0625,9.6875
2000-04-05,61.75,64.9375,60.5,62.1875,62.1875,4900000,1,-0.125,-0.5178571428571429,0.4375,4.4375
2000-04-06,63.4375,65.5,61.875,64.25,64.25,6032700,1,0.7708333333333334,-0.08035714285714286,0.8125,3.625
2000-04-07,65.125,68.625,64.125,67.5625,67.5625,6052300,0,1.2291666666666667,0.7321428571428571,2.4375,4.5
2000-04-10,67.25,68.4375,63.25,63.375,63.375,4523600,1,-0.20833333333333334,-0.10714285714285714,-3.875,5.1875
2000-04-11,62.5,66.0,61.25,63.375,63.375,4706600,0,-0.1875,-0.017857142857142856,0.875,4.75
2000-04-12,64.0,64.375,56.25,56.375,56.375,8695500,0,-3.5416666666666665,-0.8392857142857143,-7.625,8.125
2000-04-13,57.875,58.75,47.9375,48.0,48.0,10679000,0,-5.541666666666667,-2.4017857142857144,-9.875,10.8125
2000-04-14,47.875,52.375,40.8125,46.875,46.875,20074500,1,-6.166666666666667,-2.607142857142857,-1.0,11.5625
2000-04-17,45.25,52.0,44.625,47.0625,47.0625,12180900,1,-3.0208333333333335,-2.4642857142857144,1.8125,7.375
2000-04-18,47.625,56.25,47.125,54.9375,54.9375,10735000,0,2.7083333333333335,-1.7678571428571428,7.3125,9.125
2000-04-19,55.3125,55.3125,51.6875,53.4375,53.4375,5373800,0,2.4166666666666665,-1.4821428571428572,-1.875,3.625
2000-04-20,53.375,53.6875,49.875,52.375,52.375,4925300,1,1.4791666666666667,-1.75,-1.0,3.8125
2000-04-24,49.375,51.5625,44.875,49.8125,49.8125,6693300,1,-0.8125,-0.5982142857142857,0.4375,6.6875
2000-04-25,51.8125,54.125,50.25,52.4375,52.4375,7150400,1,0.020833333333333332,0.9017857142857143,0.625,3.875
2000-04-26,53.3125,57.4375,52.453125,53.5,53.5,12006400,1,0.4166666666666667,1.0714285714285714,0.1875,4.984375
2000-04-27,49.3125,55.25,48.5,52.875,52.875,11266000,1,1.4583333333333333,1.3214285714285714,3.5625,6.75
2000-04-28,54.0,55.625,53.125,55.1875,55.1875,6833800,1,1.6458333333333333,0.44642857142857145,1.1875,2.5
2000-05-01,56.0,60.3125,55.25,59.9375,59.9375,8578500,0,2.8958333333333335,1.2767857142857142,3.9375,5.0625
2000-05-02,59.1875,60.0,55.875,56.125,56.125,7427900,0,0.6875,0.9821428571428571,-3.0625,4.125
2000-05-03,55.25,56.5625,53.0,54.125,54.125,5424800,1,-0.08333333333333333,0.7589285714285714,-1.125,3.5625
2000-05-04,54.25,56.5,53.125,55.0625,55.0625,4725200,1,-1.125,0.7857142857142857,0.8125,3.375
2000-05-05,54.625,58.625,54.125,58.5,58.5,4062100,0,1.1875,1.3125,3.875,4.5
2000-05-08,56.8125,59.25,55.4375,56.015625,56.015625,3950000,0,1.296875,0.6897321428571429,-0.796875,3.8125
2000-05-09,56.5,57.75,53.0,56.25,56.25,4551800,0,0.9427083333333334,0.484375,-0.25,4.75
2000-05-10,54.53125,55.375,49.0,53.3125,53.3125,8711500,1,-0.7552083333333334,-0.25223214285714285,-1.21875,6.375
2000-05-11,53.9375,55.75,50.9375,54.875,54.875,5580800,0,-0.17708333333333334,0.31919642857142855,0.9375,4.8125
2000-05-12,54.6875,56.5,53.125,53.75,53.75,3969600,1,-0.40625,0.34598214285714285,-0.9375,3.375
2000-05-15,53.625,56.5,50.875,56.0625,56.0625,4125400,1,0.8125,0.578125,2.4375,5.625
2000-05-16,57.125,59.875,56.0,59.0625,59.0625,6432200,1,1.1458333333333333,0.3013392857142857,1.9375,3.875
2000-05-17,57.1875,62.375,57.0,61.0,61.0,6998600,0,2.7291666666666665,0.9598214285714286,3.8125,5.375
2000-05-18,60.375,60.875,55.125,55.375,55.375,4727000,0,0.25,0.28125,-5.0,5.75
2000-05-19,54.625,55.75,52.25,52.625,52.625,4610900,0,-1.0625,0.16964285714285715,-2.0,3.5
2000-05-22,53.0,53.125,46.875,51.875,51.875,8272800,0,-2.7083333333333335,-0.125,-1.125,6.25
2000-05-23,50.5,51.875,46.5,46.6875,46.6875,5837200,1,-2.3125,-0.5357142857142857,-3.8125,5.375
2000-05-24,46.4375,49.75,40.4375,48.5625,48.5625,11666600,0,-0.9375,-0.5803571428571429,2.125,9.3125
2000-05-25,49.5,50.0,45.5,45.5,45.5,4919500,1,-1.8958333333333333,-1.4285714285714286,-4.0,4.5
2000-05-26,46.25,47.75,44.0,46.5,46.5,3621000,1,-0.5416666666666666,-1.9375,0.25,3.75
2000-05-30,47.3125,51.875,47.3125,51.75,51.75,5613200,0,0.22916666666666666,-0.5892857142857143,4.4375,4.5625
2000-05-31,50.75,52.25,48.125,48.3125,48.3125,6882000,1,0.75,-0.6517857142857143,-2.4375,4.125
2000-06-01,48.875,51.125,46.375,50.1875,50.1875,7622200,1,1.1041666666666667,-0.30357142857142855,1.3125,4.75
2000-06-02,52.375,58.125,52.25,57.875,57.875,8322500,0,1.4583333333333333,1.0267857142857142,5.5,5.875
2000-06-05,55.03125,56.25,52.5,54.5,54.5,6813200,0,2.09375,0.6473214285714286,-0.53125,3.75
2000-06-06,54.0,54.5625,50.25,50.5625,50.5625,4853100,0,0.5104166666666666,0.7276785714285714,-3.4375,4.3125
2000-06-07,51.875,52.1875,50.125,51.8125,51.8125,3841200,0,-1.34375,0.6830357142857143,-0.0625,2.0625
2000-06-08,52.5625,53.4375,51.625,51.875,51.875,3040300,1,-1.3958333333333333,-0.049107142857142856,-0.6875,1.8125
2000-06-09,51.9375,53.25,51.875,52.1875,52.1875,1922300,0,-0.16666666666666666,0.33482142857142855,0.25,1.375
2000-06-12,52.1875,52.1875,47.0,48.4375,48.4375,3986000,1,-1.3958333333333333,-0.38839285714285715,-3.75,5.1875
2000-06-13,48.1875,49.5,46.25,49.0,49.0,4788500,0,-0.8958333333333334,-1.0580357142857142,0.8125,3.25
2000-06-14,49.3125,49.875,46.0,46.4375,46.4375,5020500,0,-1.9375,-1.3928571428571428,-2.875,3.875
2000-06-15,47.0,47.9375,45.3125,46.3125,46.3125,3554700,0,-0.9166666666666666,-1.0,-0.6875,2.625
2000-06-16,47.25,47.4375,45.375,46.0,46.0,3070900,0,-1.6041666666666667,-1.1696428571428572,-1.25,2.0625
2000-06-19,45.5,45.875,43.5,45.3125,45.3125,5151500,1,-0.7083333333333334,-1.0982142857142858,-0.1875,2.375
2000-06-20,45.875,48.625,45.125,46.125,46.125,6199100,1,-0.3958333333333333,-1.0982142857142858,0.25,3.5
2000-06-21,45.4375,46.9375,45.0625,46.0625,46.0625,3573300,0,0.22916666666666666,-0.4732142857142857,0.625,1.875
2000-06-22,46.1875,46.4375,41.625,42.0,42.0,10516100,0,-1.1041666666666667,-1.1875,-4.1875,4.8125
2000-06-23,36.625,37.0,32.46875,33.875,33.875,51838200,0,-2.1041666666666665,-1.1696428571428572,-2.75,4.53125
2000-06-26,35.3125,35.328125,32.8125,33.9375,33.9375,21076400,1,-2.7708333333333335,-1.2678571428571428,-1.375,2.515625
2000-06-27,33.75,38.5,33.5,36.5,36.5,17638200,1,-0.4583333333333333,-0.6964285714285714,2.75,5.0
2000-06-28,36.875,39.9375,36.125,37.875,37.875,14874300,0,0.7916666666666666,-0.5267857142857143,1.0,3.8125
2000-06-29,37.125,38.5,36.125,37.125,37.125,8986500,0,1.25,-0.5625,0.0,2.375
2000-06-30,37.0,37.25,35.5,36.3125,36.3125,6451900,1,0.10416666666666667,-0.75,-0.6875,1.75
2000-07-03,36.6875,37.5,36.5,37.0,37.0,1762400,0,-0.125,-0.10714285714285714,0.3125,1.0
2000-07-05,37.0,38.5,36.375,36.5,36.5,4213600,0,-0.2916666666666667,0.21428571428571427,-0.5,2.125
2000-07-06,36.875,37.375,34.75,36.0625,36.0625,6767100,0,-0.3333333333333333,0.29464285714285715,-0.8125,2.625
2000-07-07,36.125,37.0,35.25,36.125,36.125,3870600,0,-0.4375,-0.09821428571428571,0.0,1.75
2000-07-10,36.375,36.375,35.0,35.0625,35.0625,4240600,0,-0.7083333333333334,-0.42857142857142855,-1.3125,1.375
2000-07-11,35.1875,35.25,32.625,33.125,33.125,9896500,0,-1.125,-0.7232142857142857,-2.0625,2.625
2000-07-12,35.4375,36.125,34.25,35.0625,35.0625,11265900,0,-1.25,-0.6785714285714286,-0.375,1.875
2000-07-13,35.625,36.0,34.875,35.0,35.0,8597500,1,-1.0208333333333333,-0.8125,-0.625,1.125
2000-07-14,36.375,43.203125,36.3125,42.625,42.625,22436100,0,1.75,0.15178571428571427,6.25,6.890625
2000-07-17,42.875,43.9375,40.25,41.125,41.125,6530000,1,1.2916666666666667,0.017857142857142856,-1.75,3.6875
2000-07-18,40.125,43.625,39.5,41.75,41.75,7958400,0,2.0416666666666665,0.25,1.625,4.125
2000-07-19,41.5,41.5625,39.0,40.875,40.875,4743700,0,-0.25,0.3482142857142857,-0.625,2.5625
2000-07-20,40.9375,43.375,39.5,40.3125,40.3125,6945700,1,0.125,0.5535714285714286,-0.625,3.875
2000-07-21,40.4375,42.5,40.4375,41.125,41.125,4712900,0,-0.1875,0.7053571428571429,0.6875,2.0625
2000-07-24,41.0625,41.375,38.0625,38.75,38.75,5778200,1,-0.75,0.4642857142857143,-2.3125,3.3125
2000-07-25,36.75,38.75,33.25,37.625,37.625,27752500,1,-0.25,-0.30357142857142855,0.875,5.5
2000-07-26,35.0625,36.71875,34.0625,36.0625,36.0625,15547800,0,-0.14583333333333334,0.08928571428571429,1.0,2.65625
2000-07-27,31.4375,32.0,29.75,31.375,31.375,23579300,0,0.6041666666666666,-0.15178571428571427,-0.0625,2.25
2000-07-28,31.4375,32.125,29.0,30.0,30.0,12447000,1,-0.16666666666666666,-0.26785714285714285,-1.4375,3.125
2000-07-31,30.0625,30.25,27.875,30.125,30.125,9478800,0,-0.4791666666666667,-0.16964285714285715,0.0625,2.375
